pincode,circle,region,division,offices
721303,West Bengal Circle,South Bengal Region,Midnapore Division,Kalaikunda A F SO
721304,West Bengal Circle,South Bengal Region,Midnapore Division,"Nimpura SO, Dharenda BO, Hariatara BO, Dhekia SO"
721305,West Bengal Circle,South Bengal Region,Midnapore Division,"Inda SO, Harishpur BO, Matkatpur BO, Ramnagar Gopinathpur BO"
721306,West Bengal Circle,South Bengal Region,Midnapore Division,"Hijli SO, Hijli Cooperative BO, Talbagicha BO"
721401,West Bengal Circle,South Bengal Region,Contai Division,"Contai HO, Ajodhyapur BO, Bahitrakunda BO, Fuleswar BO, Baksispur BO, Srirampur Contai BO, Daudpur BO, Sabajput BO, Damodarpur Contai BO, Mahisagote BO, Pailachhanpur BO, Nayaput BO, Tengunia BO, Dhangaon BO, Kantai BO, Namal BO, Raipur Paschimbarh BO, Darua BO"
721402,West Bengal Circle,South Bengal Region,Contai Division,Contai Super Market SO
721403,West Bengal Circle,South Bengal Region,Contai Division,Contai Bazar SO
721404,West Bengal Circle,South Bengal Region,Contai Division,Karkuli SO
721405,West Bengal Circle,South Bengal Region,Contai Division,"Athilagori SO, Durmuth BO"
721406,West Bengal Circle,South Bengal Region,Contai Division,Monoharchak SO
721420,West Bengal Circle,South Bengal Region,Contai Division,"Baita Bazar SO, Alangiri BO, Jerthan BO"
721422,West Bengal Circle,South Bengal Region,Contai Division,"Balighai SO, Astichak BO, Atbati BO, Balageria BO, Bathuary BO, Bhatda BO, Bidurpur BO, Hatbaincha BO, Jamualachimpur BO, Kajli BO, Keutgeria BO, Khejurda BO, Naskarpur BO, Pirijkhanbarh BO, Urdhabpur BO, Uttartajpur BO"
721423,West Bengal Circle,South Bengal Region,Contai Division,"Balisai SO, Bodhra BO, Dakhin Badalpur BO, Deuli BO, Gopalchak BO, Karanji BO, Narandia BO, Narkuli BO, Satilapur BO, Shyampur BO"
721424,West Bengal Circle,South Bengal Region,Contai Division,"Belda SO, Akanda BO, Bakhrabad BO, Chakmahima BO, Chhotochatla BO, Dhalbelun BO, Dhangarpara BO, Gaita BO, Kanpur BO, Kashipur BO, Khalina BO, Lalnagar BO, Phandar BO, Reripur BO, Saljora BO, Tarua BO, Thakurchak BO, Uparjagatpur BO"
721425,West bengal circle,South Bengal Region,Contai Division,"Mugberia BO, Purbaradhapur BO, Udbadal BO, Bhupatinagar SO, Basuli Bazar BO, Bayenda BO, Bhaghadari BO, Dumandari BO"
721426,West Bengal Circle,South Bengal Region,Contai Division,"Dantan SO, Angua BO, Bamanda BO, Banjhatia BO, Belmula BO, Chaulia BO, Gazipur BO, Jamirapalgarh BO, Kakrajit BO, Kotepada BO, Lalitapur BO, Murabani BO, Paragana BO, Saorapin BO, Sarrang BO, Sonakonia BO, Uttar Ranibarh BO"
721427,West Bengal Circle,South Bengal Region,Contai Division,"Deulbarh SO, Amtalia BO, Aurai BO, Bhawanichak BO, Ghoraghata BO, Jamua Sankarpur BO, Kulanjara BO, Namaldiha BO, Sarada BO, Uttar Amtalia BO"
721428,West Bengal Circle,South Bengal Region,Contai Division,"Digha SO East Midnapore, Payamedinipur BO, Saripur BO"
721429,West Bengal Circle,South Bengal Region,Contai Division,"Egra SO, Baranihary BO, Barida Bazar BO, Bartana BO, Benachakri BO, Chhatri BO, Erenda BO, Kaithore BO, Khar BO, Kharuigarh BO, Rasan BO, Susunia BO, Egra Kasba SO"
721430,West bengal circle,South Bengal Region,Contai Division,"Ajoya BO, Bansgora Bazar BO, Barabari South BO, Chingurdania BO, Dakshin Kalamdan BO, Dekhali BO, Jukhia Bazar BO, Krishnanagar Contai BO, Lakhi BO, Mohati BO, Subdi BO, Thakurnagar BO, Tikashi BO, Uttar Kalamdan BO, Haria SO"
721431,West bengal circle,South Bengal Region,Contai Division,"Baratala BO, Boga BO, Gopichak BO, Kartickkhali BO, Kasaria BO, Katka Debichak BO, Keunchia BO, Khejuri BO, Kunjapur BO, Lakshmanchak BO, Medakhali BO, Nijkasba BO, Pankhai BO, Ramchak BO, Satkhanda Sahebnagar BO, Sillyaberia BO, Janka SO"
721432,West bengal circle,South Bengal Region,Contai Division,"Baharganj BO, Chauddachulli BO, Deulpota Keshabchak BO, Haludbari BO, Jahanabad BO, Kamarda Bazar BO, Serkhanchak BO, Takapura BO, Kalagachia SO East Midnapore"
721433,West bengal circle,South Bengal Region,Contai Division,"Battala BO, Haipur BO, Maitana BO, Majna BO, Mandarpur BO, Sisusadan BO, Tagaria BO, Khalisabhanga SO"
721434,West bengal circle,South Bengal Region,Contai Division,"Barmakhal BO, Dhankrabanka BO, Maisali BO, Panchuria BO, Saridaspur BO, Taghari BO, Manglamaro SO"
721435,West bengal circle,South Bengal Region,Contai Division,"Chhoto Srikrishnapur BO, Jenkapur BO, Koria BO, Salikotha BO, Talda Ratanchak BO, Menkapur SO"
721436,West bengal circle,South Bengal Region,Contai Division,"Amarda BO, Begunia BO, Paroi BO, Rajnagar BO, Siyalsai BO, Tanua BO, Mohanpur SO West Midnapore, Mohanpur Market BO"
721437,West bengal circle,South Bengal Region,Contai Division,"Bahurupa BO, Barakalankai BO, Bhadrakali BO, Birbira BO, Fulgeria BO, Handlarajgarh BO, Dibarpanda BO, Jhanjianankar BO, Kanthalia BO, Khurshi BO, Konarpur BO, Kotaigarh BO, Lohabaranchak BO, Makrampurbazar BO, Nankarmaguria BO, Rampura BO, Saluka BO, Sansadgopinathpur BO, Tentuliabhumjan BO, Tentulmuri BO, Narayangarh SO West Midnapore"
721438,West bengal circle,South Bengal Region,Contai Division,"Chandanpur BO, Ghatua Purusottampur BO, Panchetgarh SO"
721439,West bengal circle,South Bengal Region,Contai Division,"Alamchak Belda BO, Amarpur BO, Argora BO, Ayma Barbaria BO, Bulakipur BO, Chandanpur BO, Gokulpur BO, Kanakpur BO, Kekai BO, Makrampur BO, Naipur BO, North Biswanathpur BO, Satbahini BO, Patashpur SO"
721440,West bengal circle,South Bengal Region,Contai Division,"Ballyagobindapur BO, Chakbhabani BO, Pania BO, Srirampur BO, Pratapdighi SO"
721441,West bengal circle,South Bengal Region,Contai Division,"Alankarpur BO, Gobra BO, Haldia Patna BO, Hirapur BO, Jhawgeria BO, Mandar BO, Ramnagar SO East Midnapore"
721442,West Bengal Circle,South Bengal Region,Contai Division,"Basantia SO East Midnapore, Baikunthapur BO, Bankiput BO, Benichak BO, Chapatala BO, Dariapur BO, Dholmari BO, Safiabad BO, Uttarharaschak BO"
721443,West bengal circle,South Bengal Region,Contai Division,"Bandhuchak BO, Barabatia BO, Brahamankhalisa BO, Garh Haripur BO, Keut Khalisa BO, Lalat BO, Mustafapur BO, Renjura BO, Uttar Asda BO, Jahalda SO"
721444,West bengal circle,South Bengal Region,Contai Division,"Paushi BO, Sarpai BO, Analberia BO, Basudebberia BO, Dakhin Sandalpur BO, Dhanghara BO, Dighadari BO, Gangadharchak BO, Ichhabari BO, Kanaidighi BO, Kayemgeria BO, Kumirda BO, Panichiary BO, Nachinda Bazar SO"
721445,West bengal circle,South Bengal Region,Contai Division,"Asda BO, Babla BO, Ekarukhi BO, Garh Radhanagar BO, Kushbasan BO, Laudangri BO, Mirzapur Belda BO, Porolda BO, Purunda BO, Sabra BO, Sauri BO, Susinda BO, Turka Garh BO, Turkagarh BO, Khakurda SO"
721446,West bengal circle,South Bengal Region,Contai Division,"Aswathapur BO, Bishnupur BO, Bolkhusda BO, Chandanpurhat BO, Damodarpur BO, Jasteghori BO, Kandagram BO, Mirgoda BO, Ranisai BO, Sadihat BO, Sadikpur BO, Sahara BO, Sagareswar SO"
721447,West bengal circle,South Bengal Region,Contai Division,"Kalyanpur Tentulmuri BO, Kasbagola BO, Telami BO, Panchrol SO"
721448,West bengal circle,South Bengal Region,Contai Division,"Barada Bazar BO, Chatla BO, Chirulia BO, Chorpalia BO, Dubda BO, Garia BO, Juki BO, Jumki BO, Khurutia BO, Kultikri Aranga BO, Negua BO, Shipur BO, Paniparul SO"
